Date,HS Code,Product,Specific Product,Port of Origin,Country of Destination,Port of Destination,Value(USD),Std Qty,Std Unit,Std Unit Price(USD),Qty,Unit,Value In FC,Unit Rate In FC,Unit Rate Currency,Value(INR),Shipment Mode,Invoice Value INR
31-Jan-20,42022110,LADIES LEATHER HAND BAG 100% COW LEATHER SAC CAMEL TAILLE UNIQUE 100% CROUTE DE CUIR DE VACHETTE,Leather,JNPT,France,Le Havre,1543.7,86,NOS,17.95,86,PCS,1543.7,17.95,USD,107981.82,Sea,0
31-Jan-20,42022110,BAG,Leather,JNPT,Japan,Kobe,3074.75,710,NOS,4.33,710,PCS,3074.3,4.33,USD,215078.96,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2167,Leather,JNPT,Spain,Algeciras,2487.49,100,NOS,24.87,100,PCS,2365,23.65,EUR,174000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2213,Leather,JNPT,Spain,Algeciras,1529.66,100,NOS,15.3,100,PCS,1450,14.5,EUR,107000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.1132,Leather,JNPT,Spain,Algeciras,2558.97,70,NOS,36.56,70,PCS,2436,34.8,EUR,179000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2213,Leather,JNPT,Spain,Algeciras,814.87,50,NOS,16.3,50,PCS,775,15.5,EUR,57000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2164,Leather,JNPT,Spain,Algeciras,2416.01,100,NOS,24.16,100,PCS,2300,23,EUR,169000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2164,Leather,JNPT,Spain,Algeciras,2344.53,100,NOS,23.45,100,PCS,2225,22.25,EUR,164000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2164,Leather,JNPT,Spain,Algeciras,1458.18,100,NOS,14.58,100,PCS,1385,13.85,EUR,102000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2164,Leather,JNPT,Spain,Algeciras,2344.53,100,NOS,23.45,100,PCS,2225,22.25,EUR,164000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2167,Leather,JNPT,Spain,Algeciras,2087.21,100,NOS,20.87,100,PCS,1975,19.75,EUR,146000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.1132,Leather,JNPT,Spain,Algeciras,2744.82,75,NOS,36.6,75,PCS,2610,34.8,EUR,192000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2180,Leather,JNPT,Spain,Algeciras,2373.12,100,NOS,23.73,100,PCS,2250,22.5,EUR,166000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.1132,Leather,JNPT,Spain,Algeciras,1072.19,30,NOS,35.74,30,PCS,1020,34,EUR,75000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2167,Leather,JNPT,Spain,Algeciras,1443.89,100,NOS,14.44,100,PCS,1375,13.75,EUR,101000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.1132,Leather,JNPT,Spain,Algeciras,800.57,30,NOS,26.69,30,PCS,766.5,25.55,EUR,56000,Sea,0
28-Jan-20,42022110,COW NAPPA LEATHER HAND BAG ORDER NO.2164,Leather,JNPT,Spain,Algeciras,1386.7,100,NOS,13.87,100,PCS,1320,13.2,EUR,97000,Sea,0
